Crop,Crop_Year,Area,Production
Moong(Green Gram),2004,3187041.0,998654.2000000001
Moong(Green Gram),2005,3039036.0,947198.1000000001
Moong(Green Gram),2006,3062127.0,1057304.8999999994
Moong(Green Gram),2007,2967021.0,1120509.2000000002
Moong(Green Gram),2008,2738113.0,997332.1000000001
Moong(Green Gram),2009,3002613.0,640078.8
Moong(Green Gram),2010,3506873.0,1792063.7
Moong(Green Gram),2011,2097197.0,1005520.4000000003
Moong(Green Gram),2012,1630416.0,735726.6999999998
Moong(Green Gram),2013,1986004.0,981588.6000000004
Moong(Green Gram),2014,1489468.0,640437.8
Moong(Green Gram),2015,289786.0,85222.50000000001
Moth,1997,48716.0,24216.0
Moth,1998,921733.0,118050.0
Moth,1999,797795.0,31527.0
Moth,2000,1005907.0,144582.0
Moth,2001,1349749.0,324025.59999999986
Moth,2002,492939.0,31045.0
Moth,2003,1550418.0,819097.0
Moth,2004,1488276.0,204604.0
Moth,2005,1277327.0,174047.0
Moth,2006,1197300.0,204471.0
Moth,2007,1304312.0,422293.0
Moth,2008,1271309.0,336770.0
Moth,2009,1324793.0,46293.0
Moth,2010,1621712.0,788777.0
Moth,2011,48183.0,23302.0
Moth,2012,14711.0,5630.0
Moth,2013,42.0,24.0
Moth,2014,53.0,30.0
Niger seed,1997,16810.0,8841.0
Niger seed,1998,127482.0,35857.0
Niger seed,1999,403418.0,115283.0
Niger seed,2000,479240.0,105743.0
Niger seed,2001,553957.0,198162.06
Niger seed,2002,407384.0,84585.04000000001
Niger seed,2003,423280.0,107890.0
Niger seed,2004,414672.0,108129.0
Niger seed,2005,294986.0,70171.0
Niger seed,2006,291627.0,68207.0
Niger seed,2007,217116.0,54901.0
Niger seed,2008,259498.0,67192.0
Niger seed,2009,242010.0,57231.0
Niger seed,2010,240962.0,57060.0
Niger seed,2011,262029.0,58165.899999999994
Niger seed,2012,215159.0,63848.0
Niger seed,2013,206519.0,64292.0
Niger seed,2014,109517.0,26796.0
Oilseeds total,1997,51751377.0,39245384.0
Oilseeds total,1998,2930288.0,3871002.0
Oilseeds total,1999,33883.0,31398.0
Oilseeds total,2000,32561.0,31759.0
Oilseeds total,2001,40820.0,37164.0
Oilseeds total,2002,39497.0,36341.0
Oilseeds total,2003,34753.0,31224.0
Oilseeds total,2004,27139.0,26281.0
Oilseeds total,2005,27566.0,23695.0
Oilseeds total,2006,32160.0,29265.0
Oilseeds total,2007,30749.0,28568.0
Oilseeds total,2008,31785.0,31016.0
Oilseeds total,2009,121468.0,215842.0
Oilseeds total,2010,31854.0,29251.0
Oilseeds total,2011,32500.0,33000.0
Oilseeds total,2012,32767.0,31285.0
Oilseeds total,2013,33114.0,31635.0
Oilseeds total,2014,102300.0,103450.0
Onion,1997,134777.0,1551843.0
Onion,1998,256728.0,2910766.0
Onion,1999,370109.0,3596914.0
Onion,2000,288672.0,2487088.0
Onion,2001,285616.0,2878134.0
Onion,2002,337575.0,3245248.0
Onion,2003,481862.98,5673147.87
Onion,2004,396832.19,4503184.140000001
Onion,2005,437049.12,5596090.989999999
Onion,2006,375943.72000000003,4201728.0
Onion,2007,456683.96,5677798.300000001
Onion,2008,382183.0,4533802.5
Onion,2009,432348.0,4338469.0
Onion,2010,411573.0,5497183.0
Onion,2011,427636.0,6067070.0
Onion,2012,238740.0,3274280.0
Onion,2013,324570.0,4095933.4
Onion,2014,269613.0,2324369.0
Orange,2002,59219.0,802476.0
Orange,2003,83165.0,793030.0
Orange,2011,14938.0,172501.0
Orange,2012,16449.0,179637.0
Orange,2013,15669.0,188781.0
Orange,2014,15761.0,202378.0
Other  Rabi pulses,1997,247790.0,151786.0
Other  Rabi pulses,1998,829405.0,604458.0
Other  Rabi pulses,1999,1135582.0,598082.0
Other  Rabi pulses,2000,1000756.0,437659.0
Other  Rabi pulses,2001,1084289.0,534280.0
Other  Rabi pulses,2002,1015574.0,430882.0
Other  Rabi pulses,2003,961188.0,473944.0
Other  Rabi pulses,2004,295668.0,161156.0
Other  Rabi pulses,2005,180677.0,105215.0
Other  Rabi pulses,2006,535121.0,476608.0
Other  Rabi pulses,2007,417354.0,358936.2
Other  Rabi pulses,2008,74660.0,46759.399999999994
Other  Rabi pulses,2009,84622.0,55558.0
Other  Rabi pulses,2010,69217.0,51268.0
Other  Rabi pulses,2011,181354.0,89629.0
Other  Rabi pulses,2012,170828.0,79219.0
Other  Rabi pulses,2013,148629.0,76870.8
Other  Rabi pulses,2014,144381.0,72951.0
Other Cereals & Millets,1998,155200.0,100700.0
Other Cereals & Millets,1999,11400.0,3300.0
