districtid,timeid,neighbormean,neighborstdev
145,16,3.50,2.59
145,17,2.67,1.63
145,18,10.50,12.23
145,19,16.67,18.70
145,20,18.00,16.07
145,21,21.67,19.88
145,22,54.50,41.77
145,23,42.67,50.53
145,24,45.83,50.80
146,1,0.00,0.00
146,2,0.17,0.41
146,3,0.33,0.52
146,4,0.00,0.00
146,5,0.00,0.00
146,6,0.17,0.41
146,7,0.33,0.52
146,8,1.67,1.75
146,9,2.67,1.75
146,10,1.83,1.83
146,11,4.67,4.63
146,12,6.17,5.00
146,13,13.33,17.55
146,14,7.67,5.89
146,15,6.50,9.61
146,16,10.50,9.54
146,17,11.83,7.57
146,18,20.17,20.72
146,19,39.67,34.23
146,20,28.17,14.80
146,21,35.17,53.78
146,22,95.83,78.05
146,23,124.50,108.52
146,24,126.67,103.61
147,1,0.00,0.00
147,2,0.12,0.35
147,3,0.25,0.46
147,4,0.25,0.46
147,5,0.38,0.52
147,6,0.38,0.52
147,7,0.50,0.53
147,8,1.38,2.13
147,9,2.00,3.12
147,10,5.25,8.53
147,11,2.00,2.98
147,12,5.12,7.97
147,13,9.12,18.41
147,14,14.50,33.71
147,15,29.38,58.29
147,16,31.25,56.37
147,17,68.12,126.51
147,18,96.88,198.50
147,19,215.00,320.56
147,20,355.62,511.55
147,21,384.50,499.18
147,22,302.62,319.43
147,23,321.75,389.95
147,24,334.88,318.66
148,1,0.00,0.00
148,2,0.14,0.38
148,3,0.43,0.53
148,4,0.29,0.49
148,5,0.14,0.38
148,6,0.71,0.49
148,7,0.57,0.53
148,8,0.86,0.38
148,9,3.43,4.61
148,10,2.14,2.61
148,11,1.14,0.38
148,12,2.14,1.57
148,13,3.71,5.53
148,14,2.43,3.78
148,15,2.14,1.95
148,16,9.71,8.65
148,17,14.57,13.77
148,18,37.43,22.82
148,19,42.57,36.08
148,20,56.29,24.64
148,21,98.71,36.66
148,22,76.57,25.74
148,23,64.14,34.64
148,24,49.43,24.01
149,1,0.00,0.00
149,2,0.00,0.00
149,3,0.00,0.00
149,4,0.00,0.00
149,5,0.00,0.00
149,6,0.00,0.00
149,7,0.00,0.00
149,8,0.25,0.50
149,9,0.00,0.00
149,10,3.50,4.73
149,11,1.50,1.73
149,12,3.25,1.71
149,13,4.00,2.16
149,14,14.50,25.77
149,15,5.25,6.08
149,16,2.75,3.59
149,17,3.00,4.00
149,18,16.50,20.53
149,19,19.00,18.67
149,20,4.00,5.35
149,21,6.50,4.80
149,22,9.25,7.27
149,23,17.75,30.86
149,24,31.50,29.15
150,1,0.00,0.00
150,2,0.00,0.00
150,3,0.00,0.00
150,4,0.00,0.00
150,5,0.00,0.00
150,6,0.14,0.38
150,7,0.00,0.00
150,8,0.14,0.38
150,9,0.71,1.89
150,10,3.43,3.69
150,11,2.71,3.73
150,12,6.29,6.16
150,13,5.00,3.92
150,14,6.43,8.50
150,15,2.86,2.12
150,16,6.57,6.21
150,17,7.71,12.75
150,18,16.71,22.25
150,19,8.14,5.27
150,20,5.57,5.65
150,21,15.86,20.09
150,22,41.14,78.19
150,23,19.14,25.92
150,24,57.86,77.88
151,1,0.00,0.00
151,2,0.00,0.00
151,3,0.00,0.00
